transaction_id,order_date,ship_date,customer_id,product_id,product_category,quantity,unit_price,city,state,payment_type,order_status,ingestion_date,gender_clean,customer_age_clean,age_band,discount_pct_clean,gross_amount,net_amount,shipping_delay_days,order_year,order_month,_ingested_at,_source_file
43264,2023-08-31,2023-08-29,CUST140876,PROD40547,Furniture,2,783.09,Houston,TX,Crypto,Returned,2026-05-31,Male,,Unknown,21.83,1566.18,1224.28,-2,2023,8,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
7348,2023-05-25,2023-06-01,CUST119975,PROD7021,Grocery,10,7.68,San Diego,CA,Crypto,Delivered,2026-05-31,Unknown,20,18-29,0.00,76.80,76.80,7,2023,5,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
3392,2023-03-23,2023-03-30,CUST55953,PROD42406,Electronics,4,630.41,Los Angeles,CA,Card,Delivered,2026-05-31,Male,29,18-29,22.28,2521.64,1959.82,7,2023,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
33172,2024-08-16,2024-08-14,CUST108757,PROD10401,Grocery,10,38.46,New York,NY,,Returned,2026-05-31,Male,,Unknown,12.76,384.60,335.53,-2,2024,8,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
42718,2025-04-14,2025-04-11,CUST162963,PROD11845,Electronics,1,1262.82,New York,NY,Card,Returned,2026-05-31,Male,,Unknown,0.00,1262.82,1262.82,-3,2025,4,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
4211,2025-10-05,2025-10-04,CUST132746,PROD9366,Furniture,8,1434.79,Los Angeles,CA,COD,Returned,2026-05-31,Female,38,30-44,9.30,11478.32,10410.84,-1,2025,10,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
48417,2023-04-25,2023-05-02,CUST45013,PROD4387,Sports,1,30.51,Philadelphia,PA,Card,Returned,2026-05-31,Female,,Unknown,37.19,30.51,19.16,7,2023,4,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
8858,2025-10-31,2025-11-08,CUST191632,PROD816,Electronics,4,342.05,Houston,TX,Crypto,Delivered,2026-05-31,Male,,Unknown,0.00,1368.20,1368.20,8,2025,10,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
19998,2023-10-28,2023-11-07,CUST77835,PROD17381,Grocery,7,1.97,San Antonio,TX,COD,Returned,2026-05-31,Female,,Unknown,0.00,13.79,13.79,10,2023,10,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
11130,2025-07-27,2025-08-03,CUST44724,PROD6824,Sports,8,482.31,Phoenix,AZ,UPI,Returned,2026-05-31,Male,37,30-44,0.00,3858.48,3858.48,7,2025,7,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
